"","x"
"1","Afghanistan"
"2","Albania"
"3","Algeria"
"4","Angola"
"5","Anguilla"
"6","Antigua and Barbuda"
"7","Argentina"
"8","Armenia"
"9","Australia"
"10","Austria"
"11","Azerbaijan"
"12","Bahamas, The"
"13","Bahrain"
"14","Bangladesh"
"15","Barbados"
"16","Belarus"
"17","Belgium"
"18","Belize"
"19","Benin"
"20","Bhutan"
"21","Bolivia"
"22","Bosnia and Herzegovina"
"23","Botswana"
"24","Brazil"
"25","Brunei"
"26","Bulgaria"
"27","Burkina Faso"
"28","Burundi"
"29","Cape Verde"
"30","Cambodia"
"31","Cameroon"
"32","Canada"
"33","Central African Rep."
"34","Chad"
"35","Chile"
"36","China, People's Republic of"
"37","Colombia"
"38","Comoros"
"39","Congo, Dem. Rep. of"
"40","Congo, Republic of"
"41","Costa Rica"
"42","Croatia"
"43","Cyprus"
"44","Czech Republic"
"45","Côte d'Ivoire"
"46","Denmark"
"47","Djibouti"
"48","Dominica"
"49","Dominican Republic"
"50","Ecuador"
"51","Egypt"
"52","El Salvador"
"53","Equatorial Guinea"
"54","Eritrea"
"55","Estonia"
"56","Eswatini"
"57","Ethiopia"
"58","Fiji"
"59","Finland"
"60","France"
"61","Gabon"
"62","Gambia, The"
"63","Georgia"
"64","Germany"
"65","Ghana"
"66","Greece"
"67","Grenada"
"68","Guatemala"
"69","Guinea"
"70","Guinea-Bissau"
"71","Guyana"
"72","Haiti"
"73","Honduras"
"74","Hong Kong SAR"
"75","Hungary"
"76","Iceland"
"77","India"
"78","Indonesia"
"79","Iran, I.R. of"
"80","Iraq"
"81","Ireland"
"82","Israel"
"83","Italy"
"84","Jamaica"
"85","Japan"
"86","Jordan"
"87","Kazakhstan"
"88","Kenya"
"89","Kiribati"
"90","Korea, Republic of"
"91","Kosovo"
"92","Kuwait"
"93","Kyrgyz Republic"
"94","Lao P.D.R."
"95","Latvia"
"96","Lebanon"
"97","Lesotho"
"98","Liberia"
"99","Libya"
"100","Lithuania"
"101","Luxembourg"
"102","Madagascar"
"103","Malawi"
"104","Malaysia"
"105","Maldives"
"106","Mali"
"107","Malta"
"108","Marshall Islands"
"109","Mauritania"
"110","Mauritius"
"111","Mexico"
"112","Micronesia, Fed. States of"
"113","Moldova"
"114","Mongolia"
"115","Montenegro"
"116","Morocco"
"117","Mozambique"
"118","Myanmar"
"119","Namibia"
"120","Nepal"
"121","Netherlands"
"122","New Zealand"
"123","Nicaragua"
"124","Niger"
"125","Nigeria"
"126","North Macedonia"
"127","Norway"
"128","Oman"
"129","Pakistan"
"130","Panama"
"131","Papua New Guinea"
"132","Paraguay"
"133","Peru"
"134","Philippines"
"135","Poland"
"136","Portugal"
"137","Puerto Rico"
"138","Qatar"
"139","Romania"
"140","Russia"
"141","Rwanda"
"142","Saint Kitts and Nevis"
"143","Saint Lucia"
"144","Saint Vincent and the Grenadines"
"145","Samoa"
"146","San Marino"
"147","Saudi Arabia"
"148","Senegal"
"149","Serbia, Republic of"
"150","Seychelles"
"151","Sierra Leone"
"152","Singapore"
"153","Slovak Republic"
"154","Slovenia"
"155","Solomon Islands"
"156","South Africa"
"157","South Sudan, Republic of"
"158","Spain"
"159","Sri Lanka"
"160","Sudan"
"161","Suriname"
"162","Sweden"
"163","Switzerland"
"164","Syrian Arab Republic"
"165","São Tomé and Príncipe"
"166","Taiwan Province of China"
"167","Tajikistan"
"168","Tanzania"
"169","Thailand"
"170","Togo"
"171","Tonga"
"172","Trinidad and Tobago"
"173","Tunisia"
"174","Turkey"
"175","Turkmenistan"
"176","Tuvalu"
"177","Uganda"
"178","Ukraine"
"179","United Arab Emirates"
"180","United Kingdom"
"181","United States"
"182","Uruguay"
"183","Uzbekistan"
"184","Vanuatu"
"185","Venezuela"
"186","Vietnam"
"187","Yemen"
"188","Zambia"
"189","Zimbabwe"
"190","Eastern Caribbean Currency Union"
"191","Euro area"
"192","G-20 Advanced"
"193","G-20 Emerging"
"194","Low Income"
